dataset;llm_model;prompt_name;file_name;vulnerability_present;cwe_ids;time_taken (in seconds);tokens_used;cost (in dollars);created_at
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J20857;False;;37.46131134033203;total_tokens: 1690, completion_tokens: 461, prompt_tokens: 1229;0.02612;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J23230;True;CWE-89;11.775134325027466;total_tokens: 857, completion_tokens: 241, prompt_tokens: 616;0.013389999999999999;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J22584;True;CWE-89;15.837915420532227;total_tokens: 1008, completion_tokens: 206, prompt_tokens: 802;0.0142;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J23230;True;CWE-89;18.61564564704895;total_tokens: 1858, completion_tokens: 329, prompt_tokens: 1529;0.025160000000000002;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J22710;True;CWE-89;19.738197088241577;total_tokens: 962, completion_tokens: 209, prompt_tokens: 753;0.0138;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J22585;True;CWE-89;19.787867307662964;total_tokens: 2220, completion_tokens: 431, prompt_tokens: 1789;0.03082;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J22710;True;CWE-89;23.465507984161377;total_tokens: 2051, completion_tokens: 280, prompt_tokens: 1771;0.02611;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J23231;False;;25.036707878112793;total_tokens: 1266, completion_tokens: 327, prompt_tokens: 939;0.0192;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J22584;True;CWE-89;25.102537870407104;total_tokens: 2142, completion_tokens: 276, prompt_tokens: 1866;0.026940000000000002;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J22711;False;;25.97987985610962;total_tokens: 1324, completion_tokens: 332, prompt_tokens: 992;0.019880000000000002;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J23231;True;CWE-89;32.76795554161072;total_tokens: 2700, completion_tokens: 439, prompt_tokens: 2261;0.03578;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J22585;False;CWE-89;33.13954567909241;total_tokens: 4692, completion_tokens: 627, prompt_tokens: 4065;0.05946;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J22711;True;CWE-89;34.08990144729614;total_tokens: 2847, completion_tokens: 475, prompt_tokens: 2372;0.037970000000000004;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J23782;True;CWE-89;10.534998416900635;total_tokens: 869, completion_tokens: 278, prompt_tokens: 591;0.014249999999999999;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J23590;True;CWE-89;11.475306749343872;total_tokens: 1044, completion_tokens: 272, prompt_tokens: 772;0.015880000000000002;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J23876;True;CWE-89;13.867372035980225;total_tokens: 1118, completion_tokens: 218, prompt_tokens: 900;0.015540000000000002;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J23782;True;CWE-89;22.51701259613037;total_tokens: 1927, completion_tokens: 411, prompt_tokens: 1516;0.02749;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J23590;True;CWE-89;22.681389570236206;total_tokens: 2289, completion_tokens: 417, prompt_tokens: 1872;0.03123;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J23591;True;CWE-89;23.76188063621521;total_tokens: 1366, completion_tokens: 355, prompt_tokens: 1011;0.02076;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J23877;True;CWE-89;31.228296995162964;total_tokens: 1886, completion_tokens: 370, prompt_tokens: 1516;0.02626;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J23783;True;CWE-89;35.57390213012695;total_tokens: 1852, completion_tokens: 417, prompt_tokens: 1435;0.026860000000000002;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J23876;True;CWE-89;36.58705997467041;total_tokens: 2447, completion_tokens: 373, prompt_tokens: 2074;0.03193;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J23591;False;CWE-89;49.36044454574585;total_tokens: 2995, completion_tokens: 562, prompt_tokens: 2433;0.041190000000000004;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J23877;False;CWE-89;50.126439332962036;total_tokens: 3979, completion_tokens: 521, prompt_tokens: 3458;0.05021;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J23783;False;;57.72467589378357;total_tokens: 3934, completion_tokens: 591, prompt_tokens: 3343;0.05116;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24218;True;CWE-89;6.519577980041504;total_tokens: 785, completion_tokens: 164, prompt_tokens: 621;0.011130000000000001;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24134;True;CWE-89;12.382386445999146;total_tokens: 794, completion_tokens: 179, prompt_tokens: 615;0.011519999999999999;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24218;True;CWE-89;12.899447679519653;total_tokens: 1744, completion_tokens: 282, prompt_tokens: 1462;0.02308;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24135;True;CWE-89;13.941460847854614;total_tokens: 1838, completion_tokens: 357, prompt_tokens: 1481;0.02552;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24370;True;CWE-89;14.575841903686523;total_tokens: 1019, completion_tokens: 197, prompt_tokens: 822;0.01413;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24444;True;CWE-89;14.574944257736206;total_tokens: 1022, completion_tokens: 196, prompt_tokens: 826;0.01414;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24444;True;CWE-89;19.248444080352783;total_tokens: 2199, completion_tokens: 295, prompt_tokens: 1904;0.02789;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24134;True;CWE-89;20.26219415664673;total_tokens: 1728, completion_tokens: 263, prompt_tokens: 1465;0.022539999999999998;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24370;True;CWE-89;22.20922088623047;total_tokens: 2177, completion_tokens: 280, prompt_tokens: 1897;0.02737;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24616;True;CWE-89;9.439442157745361;total_tokens: 870, completion_tokens: 200, prompt_tokens: 670;0.0127;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24445;True;CWE-89;24.918349504470825;total_tokens: 2239, completion_tokens: 394, prompt_tokens: 1845;0.030270000000000002;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24371;False;;26.25913667678833;total_tokens: 1412, completion_tokens: 332, prompt_tokens: 1080;0.02076;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24135;False;CWE-89;26.462554216384888;total_tokens: 3903, completion_tokens: 528, prompt_tokens: 3375;0.049589999999999995;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24616;True;CWE-89;16.0429904460907;total_tokens: 1916, completion_tokens: 320, prompt_tokens: 1596;0.02556;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24046;True;CWE-89;29.50900626182556;total_tokens: 851, completion_tokens: 288, prompt_tokens: 563;0.014269999999999998;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24047;True;CWE-89;32.20266127586365;total_tokens: 1681, completion_tokens: 302, prompt_tokens: 1379;0.02285;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24445;False;;33.878305196762085;total_tokens: 4725, completion_tokens: 585, prompt_tokens: 4140;0.05895;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24371;True;CWE-89;40.224945306777954;total_tokens: 3024, completion_tokens: 476, prompt_tokens: 2548;0.039760000000000004;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24617;True;CWE-89;20.741456508636475;total_tokens: 1867, completion_tokens: 395, prompt_tokens: 1472;0.02657;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24047;False;CWE-89;42.83700680732727;total_tokens: 3571, completion_tokens: 455, prompt_tokens: 3116;0.04481;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24219;False;;43.33430290222168;total_tokens: 1915, completion_tokens: 434, prompt_tokens: 1481;0.02783;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24046;False;;45.07102394104004;total_tokens: 1930, completion_tokens: 460, prompt_tokens: 1470;0.028499999999999998;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24219;True;CWE-89;59.75910449028015;total_tokens: 4022, completion_tokens: 570, prompt_tokens: 3452;0.05162;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24617;False;CWE-89;40.208425998687744;total_tokens: 3969, completion_tokens: 574, prompt_tokens: 3395;0.05117;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24808;True;CWE-89;8.017401933670044;total_tokens: 736, completion_tokens: 187, prompt_tokens: 549;0.0111;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J25094;True;CWE-89;9.930179357528687;total_tokens: 982, completion_tokens: 223, prompt_tokens: 759;0.014280000000000001;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J25116;True;CWE-89;11.493673086166382;total_tokens: 974, completion_tokens: 234, prompt_tokens: 740;0.01442;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J25095;True;CWE-89;14.846765756607056;total_tokens: 2060, completion_tokens: 367, prompt_tokens: 1693;0.02794;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J25117;True;CWE-89;17.844207525253296;total_tokens: 1410, completion_tokens: 415, prompt_tokens: 995;0.0224;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24788;True;CWE-89;20.045021057128906;total_tokens: 769, completion_tokens: 190, prompt_tokens: 579;0.01149;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J25136;True;CWE-89;20.87369656562805;total_tokens: 992, completion_tokens: 221, prompt_tokens: 771;0.01434;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24808;False;CWE-89;21.676522970199585;total_tokens: 1663, completion_tokens: 322, prompt_tokens: 1341;0.02307;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J25116;False;;21.989943504333496;total_tokens: 2128, completion_tokens: 358, prompt_tokens: 1770;0.02844;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J25094;False;;25.1911141872406;total_tokens: 2187, completion_tokens: 390, prompt_tokens: 1797;0.029670000000000002;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24809;False;;28.80509328842163;total_tokens: 1111, completion_tokens: 305, prompt_tokens: 806;0.017210000000000003;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J25095;False;CWE-89;29.102331161499023;total_tokens: 4368, completion_tokens: 559, prompt_tokens: 3809;0.05486;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J24789;False;;29.367860317230225;total_tokens: 1713, completion_tokens: 325, prompt_tokens: 1388;0.023629999999999998;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J25117;False;CWE-89;31.829842567443848;total_tokens: 3043, completion_tokens: 582, prompt_tokens: 2461;0.042069999999999996;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J25136;False;;34.23138427734375;total_tokens: 2201, completion_tokens: 382, prompt_tokens: 1819;0.029650000000000003;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24788;None;;37.0351128578186;total_tokens: 1777, completion_tokens: 372, prompt_tokens: 1405;0.02521;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt;J25137;True;CWE-89;38.18942737579346;total_tokens: 2188, completion_tokens: 471, prompt_tokens: 1717;0.0313;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24789;True;CWE-89;39.89159154891968;total_tokens: 3696, completion_tokens: 539, prompt_tokens: 3157;0.04774;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J24809;True;CWE-89;41.65870189666748;total_tokens: 2429, completion_tokens: 456, prompt_tokens: 1973;0.03341;2024-01-19
juliet-top-25-subset-34;gpt-4-1106-preview;dataflow_analysis_prompt_self_reflection;J25137;True;CWE-89;68.6554365158081;total_tokens: 4591, completion_tokens: 630, prompt_tokens: 3961;0.058510000000000006;2024-01-19
